Entity,Code,Year,Annual concentration of atmospheric carbon dioxide
World,OWID_WRL,-464,277.6
World,OWID_WRL,-316,276.7
World,OWID_WRL,-284,276.7
World,OWID_WRL,-143,276.9
World,OWID_WRL,-50,278
World,OWID_WRL,1,276.7
World,OWID_WRL,30,277.9
World,OWID_WRL,56,277.4
World,OWID_WRL,104,277.5
World,OWID_WRL,136,278.1
World,OWID_WRL,154,278.072
World,OWID_WRL,175,277.55588
World,OWID_WRL,241,280.24908
World,OWID_WRL,266,278.3144
World,OWID_WRL,274,280.2445
World,OWID_WRL,296,280.90897
World,OWID_WRL,318,281.69214
World,OWID_WRL,357,277.79538
World,OWID_WRL,384,277.24692
World,OWID_WRL,406,279.1252
World,OWID_WRL,437,279.9999
World,OWID_WRL,488,277.10568
World,OWID_WRL,518,276.78952
World,OWID_WRL,552,276.55905
World,OWID_WRL,557,278.4609
World,OWID_WRL,582,276.19604
World,OWID_WRL,615,277.86972
World,OWID_WRL,637,279.58804
World,OWID_WRL,669,278.45496
World,OWID_WRL,701,277.09894
World,OWID_WRL,730,279.99026
World,OWID_WRL,762,279.2937
World,OWID_WRL,793,279.7247
World,OWID_WRL,822,278.62302
World,OWID_WRL,875,279.42044
World,OWID_WRL,914,280.10553
World,OWID_WRL,958,277.40717
World,OWID_WRL,983,278.74023
World,OWID_WRL,1018,279.7987
World,OWID_WRL,1019,280.06454
World,OWID_WRL,1040,280.91617
World,OWID_WRL,1049,280.96674
World,OWID_WRL,1070,282.84442
World,OWID_WRL,1099,283.09445
World,OWID_WRL,1116,282.84164
World,OWID_WRL,1146,284.5106
World,OWID_WRL,1166,283.96597
World,OWID_WRL,1200,284.54004
World,OWID_WRL,1211,283.6883
World,OWID_WRL,1251,282.41312
World,OWID_WRL,1260,282.19928
World,OWID_WRL,1278,278.43124
World,OWID_WRL,1307,281.5784
World,OWID_WRL,1330,284.06766
World,OWID_WRL,1349,278.36212
World,OWID_WRL,1390,280.9116
World,OWID_WRL,1411,279.69656
World,OWID_WRL,1429,279.7257
World,OWID_WRL,1449,282.2266
World,OWID_WRL,1469,280.3125
World,OWID_WRL,1502,283.1248
World,OWID_WRL,1530,283.94788
World,OWID_WRL,1550,283.5297
World,OWID_WRL,1560,281.82904
World,OWID_WRL,1573,282.56982
World,OWID_WRL,1588,281.10892
World,OWID_WRL,1591,279.35687
World,OWID_WRL,1603,275.0666
World,OWID_WRL,1609,271.10904
World,OWID_WRL,1629,273.78076
World,OWID_WRL,1640,276.68723
World,OWID_WRL,1649,278.01523
World,OWID_WRL,1682,276.65967
World,OWID_WRL,1690,276.32462
World,OWID_WRL,1694,277.35806
World,OWID_WRL,1723,277.64172
World,OWID_WRL,1734,278.31094
World,OWID_WRL,1741,276.809
World,OWID_WRL,1749,277.60007
World,OWID_WRL,1752,277.22968
World,OWID_WRL,1763,277.1557
World,OWID_WRL,1764,276.3961
World,OWID_WRL,1773,277.85596
World,OWID_WRL,1779,280.2363
World,OWID_WRL,1780,273.07373
World,OWID_WRL,1794,281.61713
World,OWID_WRL,1796,281.35458
World,OWID_WRL,1799,282.79956
World,OWID_WRL,1814,284.43127
World,OWID_WRL,1825,281.36035
World,OWID_WRL,1827,285.90894
World,OWID_WRL,1833,284.4533
World,OWID_WRL,1837,284.15198
World,OWID_WRL,1841,283.65454
World,OWID_WRL,1843,281.58148
World,OWID_WRL,1844,283.53113
World,OWID_WRL,1845,283.18286
World,OWID_WRL,1846,283.61987
World,OWID_WRL,1847,286.83923
World,OWID_WRL,1850,284.00165
World,OWID_WRL,1851,287.1281
World,OWID_WRL,1854,288.05444
World,OWID_WRL,1855,285.56558
World,OWID_WRL,1857,283.1621
World,OWID_WRL,1859,286.6331
World,OWID_WRL,1862,287.17456
World,OWID_WRL,1863,285.35333
World,OWID_WRL,1864,286.65414
World,OWID_WRL,1867,285.0523
World,OWID_WRL,1868,288.7642
World,OWID_WRL,1870,287.15613
World,OWID_WRL,1873,286.6551
World,OWID_WRL,1874,291.5582
World,OWID_WRL,1877,289.32812
World,OWID_WRL,1880,287.77072
World,OWID_WRL,1883,292.46393
World,OWID_WRL,1884,289.4945
World,OWID_WRL,1886,288.11575
World,OWID_WRL,1887,294.3418
World,OWID_WRL,1889,292.34238
World,OWID_WRL,1890,290.91754
World,OWID_WRL,1892,295.17194
World,OWID_WRL,1893,295.08795
World,OWID_WRL,1894,293.48767
World,OWID_WRL,1899,296.16443
World,OWID_WRL,1900,294.22073
World,OWID_WRL,1902,295.61063
World,OWID_WRL,1904,295.99136
World,OWID_WRL,1905,299.0236
World,OWID_WRL,1906,298.47754
World,OWID_WRL,1909,301.50415
World,OWID_WRL,1910,297.8691
World,OWID_WRL,1911,298.36343
World,OWID_WRL,1913,301.29773
World,OWID_WRL,1914,300.7001
World,OWID_WRL,1916,301.91516
World,OWID_WRL,1918,303.85223
World,OWID_WRL,1919,304.61322
World,OWID_WRL,1920,301.87585
World,OWID_WRL,1923,304.6901
World,OWID_WRL,1925,304.84253
World,OWID_WRL,1928,306.84332
World,OWID_WRL,1929,305.62305
World,OWID_WRL,1931,305.7409
World,OWID_WRL,1932,308.25555
World,OWID_WRL,1933,307.11163
World,OWID_WRL,1934,308.3531
World,OWID_WRL,1935,306.3198
World,OWID_WRL,1936,308.30164
World,OWID_WRL,1937,307.40768
World,OWID_WRL,1938,311.0677
World,OWID_WRL,1939,310.83423
World,OWID_WRL,1940,310.37598
World,OWID_WRL,1941,309.77048
World,OWID_WRL,1942,312.37192
World,OWID_WRL,1944,312.36163
World,OWID_WRL,1945,310.93842
World,OWID_WRL,1946,312.26343
World,OWID_WRL,1947,311.61462
World,OWID_WRL,1948,311.57095
World,OWID_WRL,1949,309.694
World,OWID_WRL,1950,312.83102
World,OWID_WRL,1952,312.18445
World,OWID_WRL,1954,312.73138
World,OWID_WRL,1955,314.71396
World,OWID_WRL,1956,315.34207
World,OWID_WRL,1957,315.34427
World,OWID_WRL,1958,315.3368
World,OWID_WRL,1959,314.15894
World,OWID_WRL,1960,313.09338
World,OWID_WRL,1961,318.20657
World,OWID_WRL,1962,317.75082
World,OWID_WRL,1963,318.3751
World,OWID_WRL,1964,319.12347
World,OWID_WRL,1965,319.544
World,OWID_WRL,1966,320.98157
World,OWID_WRL,1967,321.33356
World,OWID_WRL,1969,323.56235
World,OWID_WRL,1970,324.55707
World,OWID_WRL,1971,325.95483
World,OWID_WRL,1972,329.38318
World,OWID_WRL,1974,331.5498
World,OWID_WRL,1976,332.3657
World,OWID_WRL,1977,333.95795
World,OWID_WRL,1979,336.85333
World,OWID_WRL,1980,338.91083
World,OWID_WRL,1981,340.11084
World,OWID_WRL,1982,340.85583
World,OWID_WRL,1983,342.53
World,OWID_WRL,1984,344.07333
World,OWID_WRL,1985,345.5375
World,OWID_WRL,1986,346.96832
World,OWID_WRL,1987,348.68335
World,OWID_WRL,1988,351.15918
World,OWID_WRL,1989,352.7875
World,OWID_WRL,1990,354.0575
World,OWID_WRL,1991,355.39334
World,OWID_WRL,1992,356.09
World,OWID_WRL,1993,356.835
World,OWID_WRL,1994,358.32916
World,OWID_WRL,1995,360.17166
World,OWID_WRL,1996,361.9325
World,OWID_WRL,1997,363.0425
World,OWID_WRL,1998,365.69583
World,OWID_WRL,1999,367.79416
World,OWID_WRL,2000,368.965
World,OWID_WRL,2001,370.56583
World,OWID_WRL,2002,372.58334
World,OWID_WRL,2003,375.14084
World,OWID_WRL,2004,376.95166
World,OWID_WRL,2005,378.98083
World,OWID_WRL,2006,381.14835
World,OWID_WRL,2007,382.9
World,OWID_WRL,2008,385.02084
World,OWID_WRL,2009,386.49667
World,OWID_WRL,2010,388.75418
World,OWID_WRL,2011,390.62082
World,OWID_WRL,2012,392.64917
World,OWID_WRL,2013,395.39667
World,OWID_WRL,2014,397.34418
World,OWID_WRL,2015,399.64917
World,OWID_WRL,2016,403.06583
World,OWID_WRL,2017,405.21667
World,OWID_WRL,2018,407.61084
World,OWID_WRL,2019,410.07166
World,OWID_WRL,2020,412.44333
World,OWID_WRL,2021,414.7025
World,OWID_WRL,2022,417.085
World,OWID_WRL,2023,419.34833
World,OWID_WRL,2024,422.77