Search Parameters,Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
,1917,1,1,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.764,35.914,2962,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
,1918,7,18,1454,,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.138,125.491,-5,Submarine volcano,3,,,,,,,,,,,,,,,,,,,,,
,1919,4,3,3511,,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.138,125.491,-5,Submarine volcano,3,,,,,,,,,1,,1,,,,,,,,1,,1
,1919,5,19,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,4,M,5110,4,,,,,,,9000,4,5110,4,,,,,,,9000,4
,1920,7,25,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,P,33,1,,,,,,,,,33,1,,,,,,,,
,1923,3,2,5720,10435,"Cendres, Ile des",SE Asia,Vietnam,10.158,109.014,-20,Submarine volcanoes,2,L,,,,,,,,,,,,,,,,,,1,,
,1923,3,11,,,Papandayan,Java,Indonesia,-7.32,107.73,2665,Stratovolcano,1,G,1,1,,,,,,,,,1,1,,,,,,,,
,1923,6,,,,Tangkuban Parahu,Java,Indonesia,-6.77,107.6,2084,Stratovolcano,,G,3,1,,,,,,,,,3,1,,,,,,,,
,1928,1,,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,P,,1,,,,,,,,,,1,,,,,,,,
,1928,3,26,1593,,Krakatau,Indonesia,Indonesia,-6.101,105.423,285,Caldera,2,,,,,,,,,,,,,,,,,,,,,
,1928,5,13,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,2,T,40,1,,,,,,,,,40,1,,,,,,,,
,1928,8,4,1607,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,3,"W,T",98,2,,,,,,1,,,226,3,,,200,3,,2,,2
,1930,3,17,1624,,Krakatau,Indonesia,Indonesia,-6.101,105.423,285,Caldera,2,,,,,,,,,,,,,,,,,,,,,
,1930,12,18,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,"P,M",1369,4,,,,,,3,1109,4,1369,4,,,,,,3,1109,4
,1932,2,,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,m,,1,,,,,,,,,,1,,,,,,,,
,1933,12,25,1666,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,,,,,,,,,,,9,1,,,,,,3,,
,1937,5,29,1698,10010,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.246,152.194,688,Pyroclastic shield,4,"P,T,W,I",507,3,,,,,,1,,1,507,3,,,,,,1,,1
,1938,6,5,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,,,1,,,,,,,,,,1,,,,,,,,
,1939,10,13,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,1,T,10,1,,,,,,1,,,10,1,,,,,,1,,
,1940,6,20,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,2,,1,1,,,2,1,,,,,1,1,,,2,1,,,,
,1940,7,24,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.764,35.914,2962,Stratovolcano,2,,,,,,,,,1,,,,,,,,,,1,,
,1941,9,21,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,,,,,,,,,1,,,,,,,,,,1,,
,1944,12,4,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,2,T,117,3,,,250,3,,,,,117,3,,,250,3,,,,
,1946,2,,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,F,6,1,,,,,,2,81,2,6,1,,,,,,2,81,2
,1946,10,29,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,,,,,,,,,1,,,,,,,,,,1,,
,1947,1,7,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,,,1,,,,,,,,,,1,,,,,,,,
,1948,4,7,,,Iliwerung,Lesser Sunda Is,Indonesia,-8.532,123.573,583,Complex volcano,2,,,,,,,,,2,,,,,,,,,,2,,
,1949,6,,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,3,P,2,1,,,,,,,,,2,1,,,,,,,,
,1950,8,28,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,1,P,6,1,,,,,,,,,6,1,,,,,,,,
,1950,9,15,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,3,P,68,2,,,,,,,,,68,2,,,,,,,,
,1951,1,21,,,Lamington,New Guinea,Papua New Guinea,-8.95,148.15,1680,Stratovolcano,4,P,2942,4,,,,2,,,,,2942,4,,,,2,,,,
,1951,8,31,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,3,,7,1,,,,,,,,,7,1,,,,,,,,
,1951,12,4,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,3,P,500,3,1500,4,,,,,,,500,3,1500,4,,,,,,
,1951,,,1816,,Kavachi,Solomon Is-SW Pacifi,Solomon Is.,-8.991,157.979,-20,Submarine volcano,2,,,,,,,,,,,,,,,,,,,,,
,1952,,,,,Ambalatungan Group,Luzon-Philippines,Philippines,17.32,121.1,2329,Compound volcano,1,,12,1,,,,,,,,,12,1,,,,,,,,
,1953,3,23,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,P,64,2,,,57,2,,2,144,3,64,2,,,57,2,,2,144,3
,1953,6,27,1838,,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270,Complex volcano,0,,,,,,,,,,,,,,,,,,,1,,
,1953,6,,,,Sirung,Lesser Sunda Is,Indonesia,-8.497,124.131,1347,Complex volcano,0,,5,1,,,1,1,,,,,5,1,,,1,1,,,,
,1954,8,3,,,Bam,New Guinea-NE of,Papua New Guinea,-3.613,144.818,685,Stratovolcano,2,I,,,,,,2,,,,,25,1,,,,2,,,,
,1954,,,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,,m,2,1,,,,,,,,,2,1,,,,,,,,
,1958,7,12,,,Mahawu,Sulawesi-Indonesia,Indonesia,1.352,124.865,1299,Stratovolcano,2,M,1,1,,,10,1,,,,,1,1,,,10,1,,,,
,1958,10,7,1882,,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.83,168.523,-2,Caldera,2,,,,,,,,,,,,,,,,,,,,,
,1961,5,8,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,P,6,1,,,6,1,,2,,3,6,1,,,6,1,,2,,3
,1962,10,,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,m,2,1,,,,,,,,,2,1,,,,,,,,
,1962,12,31,,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,2,,5,1,,,5,1,,,,,5,1,,,5,1,,,,
,1963,3,18,1942,,Agung,Lesser Sunda Is,Indonesia,-8.343,115.508,2997,Stratovolcano,5,"P,T,M,A",1028,4,,3,624,3,,,,,1028,4,,3,624,3,,,,
,1963,5,5,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,T,1,1,,,,,,,,,1,1,,,,,,,,
,1963,5,16,,4292,Agung,Lesser Sunda Is,Indonesia,-8.343,115.508,2997,Stratovolcano,3,,120,2,,,,,,,,,120,2,,,,,,,,
,1963,9,5,,,Batur,Lesser Sunda Is,Indonesia,-8.24,115.378,1711,Caldera,2,,2,1,,,,,,,,1,2,1,,,,,,,,1
,1964,1,1,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,2,,1,1,,,3,1,,,,,1,1,,,3,1,,,,
,1964,12,13,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,1,,114,3,,,,,,,,,114,3,,,,,,,,
,1965,9,28,1977,,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,4,"P,W",355,3,,,,,,1,,1,355,3,,,,,,1,,1
,1966,1,13,5478,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.386,165.804,796,Stratovolcano,3,,,,,,,,,,,,,,,,,,,,,
,1966,4,26,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,4,"M,m,P",215,3,78,2,86,2,,,,,215,3,78,2,86,2,,,,
,1966,8,12,,,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,4,"P,M,I",39,1,,,1000,3,,,,2,39,1,,,1000,3,,,,2
,1966,8,14,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.764,35.914,2962,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,1,,
,1967,7,8,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.764,35.914,2962,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
,1967,8,31,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,M,3,1,,,,,,1,,,3,1,,,,,,1,,
,1968,4,21,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,"M,P",6,1,,,,,,,,,6,1,,,,,,,,
,1969,1,7,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,P,3,1,,,,,,,,,3,1,,,,,,,,
,1969,1,28,,,Iya,Lesser Sunda Is,Indonesia,-8.891,121.641,618,Stratovolcano,3,"T,m",2,1,,,10,1,,,287,3,2,1,,,10,1,,,287,3
,1969,3,21,2872,,Didicas,Luzon-N of,Philippines,19.077,122.202,228,Compound volcano,2,W,,,,,,,,,,,3,1,,,,,,,,
,1971,9,6,2043,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.386,165.804,796,Stratovolcano,2,,,,,,,,,,,,,,,,,,,,,
,1972,6,9,,,"Fournaise, Piton de la",Indian O-W,Reunion,-21.244,55.708,2632,Shield volcano,2,I,3,1,,,,,,,,,3,1,,,,,,,,
,1972,10,9,2054,,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.519,148.115,75,Stratovolcano,1,,,,,,,,,,,,,,,,,,,,,
,1973,1,,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,3,,,,,,,,,1,,1,,,,,,,,1,,1
,1973,12,,5761,,Iliwerung,Lesser Sunda Is,Indonesia,-8.532,123.573,583,Complex volcano,2,W,,,,,,,,,,,2,1,,,,,,,,
,1974,2,11,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,A,4,1,,,,,,,,,4,1,,,,,,,,
,1974,10,17,2069,,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.519,148.115,75,Stratovolcano,1,,,,,,,,,,,,,,,,,,,,,
,1974,10,22,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,M,9,1,,,,,,,6,1,9,1,,,,,,,6,1
,1975,1,,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,2,M,80,2,,,,,,3,,3,80,2,,,,,,3,,3
,1976,8,31,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,M,119,3,,,,,,,,,119,3,,,,,,,,
,1976,9,15,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,2,"P,L",1,1,,,1,1,,,24,1,1,1,,,1,1,,,24,1
,1976,11,25,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,M,29,1,,,,,,,,,29,1,,,,,,,,
,1977,4,5,,,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,1,L,,,,,,,,1,293,3,,,,,,,,1,293,3
,1978,7,29,,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,,,,,,,,1,,,,,,,,,,1,,
,1978,9,19,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,M,12,1,,,,,,,,,12,1,,,,,,,,
,1978,,,,,Tangkuban Parahu,Java,Indonesia,-6.77,107.6,2084,Stratovolcano,,I,3,1,,,,,,,,,3,1,,,,,,,,
,1979,2,20,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,1,G,149,3,,,,,,,,,149,3,,,,,,,,
,1979,3,8,,,Karkar,New Guinea-NE of,Papua New Guinea,-4.647,145.976,1839,Stratovolcano,2,P,2,1,,,,,,,,,2,1,,,,,,,,
,1979,7,18,2115,,Iliwerung,Lesser Sunda Is,Indonesia,-8.532,123.573,583,Complex volcano,,W,,,,,,,,,,,1239,4,,,32,1,,3,,3
,1981,3,29,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,P,1,1,,,,,,,,,1,1,,,,,,,,
,1981,5,14,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,m,372,3,120,3,152,3,,,,,372,3,120,3,152,3,,,,
,1981,6,30,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,m,200,3,,,,,,,,,200,3,,,,,,,,
,1981,9,5,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,2,P,,,,,,,,1,,1,,,,,,,,1,,1
,1981,10,20,5759,,Krakatau,Indonesia,Indonesia,-6.101,105.423,285,Caldera,1,"A,T,W",,,,,,,,,,,,,,,,,,,,
,1982,5,17,,,Galunggung,Java,Indonesia,-7.25,108.058,2168,Stratovolcano,4,"I,T",68,2,,,,,15,3,,,68,2,,,,,15,3,,
,1983,7,23,,,Colo,Sulawesi-Indonesia,Indonesia,-0.162,121.601,404,Stratovolcano,4,,,,,,,,,2,,3,,,,,,,,2,,3
,1983,8,17,4702,,Iliwerung,Lesser Sunda Is,Indonesia,-8.532,123.573,583,Complex volcano,1,W,,,,,,,,,,,,,,,,,,,,
,1984,9,9,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,M,1,1,,,,,,,,,1,1,,,,,,,,
,1985,5,10,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,A,70,2,,,,,,,,,70,2,,,,,,,,
,1986,10,15,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,M,1,1,,,,,,,,,1,1,,,,,,,,
,1987,12,1,,5150,Sirung,Lesser Sunda Is,Indonesia,-8.497,124.131,1347,Complex volcano,,,,,,,,,,,,,125,3,,,,3,5,3,237,3
,1988,5,9,,,Banda Api,Banda Sea,Pacific Ocean,-4.523,129.881,596,Caldera,3,"T,L",4,1,,,,,,,,,4,1,,,,,,,,
,1988,7,30,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,1,1,,,,,,,,,1,1,,,,,,,,
,1990,2,10,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,4,"T,P",35,1,,,,,,,,,35,1,,,,,,,,
,1990,6,24,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.246,152.194,688,Pyroclastic shield,,G,6,1,,,,,,,,,6,1,,,,,,,,
,1990,11,25,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,,m,4,1,,,,,,,,,4,1,,,,,,,,
,1991,6,15,,5292,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6,"P,m,I",350,3,,,4,1,,3,,,800,3,,,4,1,,3,,
,1991,7,3,,,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,2,,,,,,,,,1,,,,,,,,,,1,,
,1991,10,24,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,1,"T,P",1,1,,,,,,,,,1,1,,,,,,,,
,1992,1,21,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,2,M,2,1,,,,,,,,,2,1,,,,,,,,
,1992,3,18,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,,G,1,1,,,2,1,,,,,1,1,,,2,1,,,,
,1992,5,11,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,1,P,6,1,,,1,1,,,,,6,1,,,1,1,,,,
,1992,7,5,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,2,T,1,1,,,5,1,,,,,1,1,,,5,1,,,,
,1992,7,12,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,m,6,1,,,,,,,,,6,1,,,,,,,,
,1992,,,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,3,1,,,,,,,,,3,1,,,,,,,,
,1993,1,21,,,Wurlali,Banda Sea,Indonesia,-7.125,128.675,868,Stratovolcano,,m,1,1,,,12,1,,,,,1,1,,,12,1,,,,
,1993,2,2,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,P,75,2,,,,,,,,,75,2,,,,,,,,
,1993,6,13,,,Krakatau,Indonesia,Indonesia,-6.101,105.423,285,Caldera,1,T,1,1,,,5,1,,,,,1,1,,,5,1,,,,
,1993,6,26,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,m,4,1,,,,,,,,,4,1,,,,,,,,
,1993,10,4,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,,m,14,1,,,,,,,,,14,1,,,,,,,,
,1994,1,15,,,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,3,T,1,1,,,,,,,,,1,1,,,,,,,,
,1994,2,3,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,P,6,1,,,,,,,,,6,1,,,,,,,,
,1994,9,18,5927,10747,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.246,152.194,688,Pyroclastic shield,,"W,S",,,,,,,,,,,,,,,,,,,,
,1994,9,19,2229,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.246,152.194,688,Pyroclastic shield,3,"T,W",4,1,,,,,86,4,,,4,1,,,,,86,4,,1
,1994,11,3,,,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,3,m,31,1,,,,,,,,,31,1,,,,,,,,
,1994,11,22,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,,60,2,,,,,,,,,60,2,,,,,,,,
,1995,2,4,,,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,3,T,2,1,,,,,,,,,2,1,,,,,,,,
,1995,5,15,,,Kelimutu,Lesser Sunda Is,Indonesia,-8.77,121.82,1639,Complex volcano,,,1,1,,,,,,,,,1,1,,,,,,,,
,1995,9,6,,,Melebingoy,Mindanao-Philippines,Philippines,6.113,124.892,1824,Stratovolcano,,,60,2,,,,,,2,300,3,60,2,,,,,,2,300,3
,1996,8,10,,,Kanlaon,Philippines-C,Philippines,10.41,123.13,2422,Stratovolcano,2,T,3,1,,,18,1,,,,,3,1,,,18,1,,,,
,1996,12,3,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,3,P,13,1,,,29,1,,,,,13,1,,,29,1,,,,
,1997,1,14,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,,6,1,,,,1,,,,,6,1,,,,1,,,,
,1997,4,17,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,1,P,3,1,,,,,,,,,3,1,,,,,,,,
,1997,9,2,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,2,1,,,,,,,,,2,1,,,,,,,,
,1998,7,,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,,m,10,1,,,,,,,,,10,1,,,,,,,,
,2000,7,27,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,2,1,,,,,,,,,2,1,,,,,,,,
,2000,11,,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,A,1,1,,,,,,,,,1,1,,,,,,,,
,2001,8,5,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,P,2,1,,,,,,,,,2,1,,,,,,,,
,2002,1,3,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,M,,,,,,,,1,,1,,,,,,,,1,,1
,2002,,,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,3,1,,,,,,,,,3,1,,,,,,,,
,2004,1,29,,,Egon,Lesser Sunda Is,Indonesia,-8.676,122.455,1661,Stratovolcano,1,T,1,1,,,,,,,,,1,1,,,,,,,,
,2004,6,8,,,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,2,T,2,1,,,5,1,,,,,,,,,,,,,,
,2004,10,24,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,T,5,1,,,,,,,,,5,1,,,,,,,,
,2005,1,27,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,T,1,1,,,14,1,,,,,1,1,,,14,1,,,,
,2005,11,24,,,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,,,,1,,,,,,1,,,,1,,,,,,1,,
,2006,6,7,,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,1,1,,,,,,,,,1,1,,,,,,,,
,2006,6,14,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,1,,2,1,,,,,,,,,2,1,,,,,,,,
,2006,11,30,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,1,m,1266,4,,,,,,1,,,1266,4,,,,,,1,,
,2007,3,,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,M,4,1,,,1,1,,,,,4,1,,,1,1,,,,
,2007,5,19,5758,,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.519,148.115,75,Stratovolcano,1,"A,W",,,,,,,,1,,1,,,,,,,,1,,1
,2007,7,7,,,Salak,Java,Indonesia,-6.716,106.733,2218,Stratovolcano,,G,6,1,,,,,,,,,6,1,,,,,,,,
,2007,9,30,,,"Tair, Jebel at",Red Sea,Yemen,15.55,41.83,244,Stratovolcano,,,7,1,,,1,1,,,,,7,1,,,,1,,,,
,2010,5,29,4822,9172,Zealandia Bank,Mariana Is-C Pacific,United States,16.88,145.85,0,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
,2010,8,6,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,,4,1,,,5,1,,,,1,4,1,,,5,1,,,,1
,2010,8,30,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,2,1,,,,,,,,,2,1,,,,,,,,
,2010,10,26,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,,367,3,,,277,3,600,4,,3,367,3,,,277,3,600,4,,3
,2010,12,28,,,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,,,,,,,,,,1,,,,,,,,,,,,
,2011,1,3,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,M,1,1,,,1,1,,1,,,1,1,,,1,1,,1,,
,2011,2,23,,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,1,1,,,,,,,,,1,1,,,,,,,,
,2011,3,18,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,
,2011,6,22,,,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,4,,31,1,,,,3,,1,,,31,1,,,,3,,1,,
,2011,7,17,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,,,1,1,,,,,,,,,1,1,,,,,,,,
,2011,12,27,,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,3,m,4,1,,,,1,,,,,4,1,,,,1,,,,